date,crop_type,region,quality,quantity_kg,market_price,season,weather,market_demand,source
2023-01-15,Wheat,North,Premium,1000,45.5,Winter,Cold,High,
2023-01-20,Wheat,North,Grade_A,1500,42.3,Winter,Cold,Medium,
2023-02-10,Wheat,North,Premium,800,47.2,Winter,Rainy,High,
2023-03-05,Wheat,North,Grade_B,2000,40.1,Spring,Sunny,Low,
2023-03-20,Wheat,South,Premium,1200,48.5,Spring,Sunny,High,
2023-04-15,Rice,East,Premium,900,65.2,Spring,Moderate,High,
2023-04-25,Rice,East,Grade_A,1800,60.8,Spring,Rainy,Medium,
2023-05-10,Rice,West,Premium,1100,68.9,Summer,Hot,High,
2023-05-25,Corn,North,Grade_A,1400,35.2,Summer,Sunny,Medium,
2023-06-15,Corn,South,Premium,1600,38.7,Summer,Hot,High,
2023-07-10,Pulses,East,Grade_A,800,85.2,Monsoon,Rainy,High,
2023-07-25,Pulses,West,Premium,900,88.5,Monsoon,Humid,Medium,
2023-08-15,Vegetables,North,Premium,500,32.5,Monsoon,Rainy,High,
2023-08-30,Vegetables,South,Grade_A,700,30.8,Monsoon,Humid,Medium,
2023-09-15,Fruits,East,Premium,600,55.2,Autumn,Moderate,High,
2023-09-30,Fruits,West,Grade_A,800,52.8,Autumn,Sunny,Medium,
2023-10-15,Wheat,North,Premium,1300,46.8,Autumn,Cool,High,
2023-10-30,Wheat,South,Grade_A,1700,44.2,Autumn,Cool,Medium,
2023-11-15,Rice,East,Premium,1000,67.5,Winter,Cold,High,
2023-11-30,Rice,West,Grade_A,1200,64.8,Winter,Cold,Medium,
2023-12-15,Corn,North,Premium,1500,36.9,Winter,Cold,High,
2023-12-30,Corn,South,Grade_A,1800,34.5,Winter,Cold,Medium,
2024-02-22,Corn,East,Grade_B,1000,27.59,Winter,Humid,High,generated
2024-02-26,Rice,Northeast,Grade_C,1000,32.5,Winter,Cloudy,Low,generated
2024-02-27,Cotton,South,Premium,1500,111.52,Winter,Cloudy,Very High,generated
2024-02-28,Sugarcane,East,Premium,2000,57.68,Winter,Cloudy,Medium,generated
2024-02-28,Cotton,Northeast,Grade_A,3000,47.39,Winter,Sunny,Low,generated
2024-02-28,Rice,West,Grade_B,1000,47.68,Winter,Sunny,Low,generated
2024-02-29,Pulses,East,Grade_A,10000,79.77,Winter,Sunny,Medium,generated
2024-03-05,Vegetables,South,Premium,5000,50.81,Spring,Moderate,High,generated
2024-03-06,Soybean,North,Grade_B,800,44.9,Spring,Cloudy,High,generated
2024-03-06,Rice,Central,Grade_B,800,47.4,Spring,Sunny,Medium,generated
2024-03-08,Sugarcane,East,Grade_C,8000,20.37,Spring,Hot,Medium,generated
